"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-628478","","2020-08-18 16:33:00","2020-08-18 18:27:00","01:54","power outage",""
"Environmental","NOC-628442","","2020-08-18 07:44:00","2020-08-18 09:19:00","01:35","power outage",""
"Environmental","NOC-628424","Spectrum (ECT-8267063 ECT-8267062) AT&T (LE123113, LE123114, LE123115)","2020-08-18 03:08:00","2020-08-18 03:11:00","00:03","power outage",""
"Spectrum","NOC-628432","","2020-08-18 05:11:00","2020-08-18 05:14:00","00:03","higher level carrier",""
"Cisco","NOC-628296","689711897","2020-08-17 00:21:00","2020-08-17 21:43:00","21:22","faulty line card","CENIC LC replacement"
"Environmental","NOC-628325","286177765 286177697","2020-08-17 08:04:00","2020-08-17 18:51:00","10:47","power outage",""
"Spectrum","NOC-628376","ECT-80266919","2020-08-17 13:23:00","2020-08-17 14:11:00","00:48","faulty line card",""
"Crown Castle","NOC-628167","CCF20322464","2020-08-14 11:25:00","2020-08-17 10:21:00","70:56","fiber damage",""
"Environmental","NOC-628269","","2020-08-16 03:27:00","2020-08-17 08:39:00","29:12","power outage",""
"Environmental","NOC-628268","286141469 , FE141339(ADE 888-457-3087  3 1 2)","2020-08-16 04:55:00","2020-08-17 13:56:00","33:01","power outage",""
"Crown Castle","NOC-628375","CCF-20322970","2020-08-17 13:14:00","2020-08-17 13:18:00","00:04","unknown",""
"Environmental","NOC-628319","","2020-08-17 08:17:00","2020-08-17 10:41:00","02:24","power outage",""
"AT&T","NOC-628313","286177752 286177260 286177687 286177759","2020-08-17 07:39:00","2020-08-17 07:40:00","00:01","higher level carrier",""
"Spectrum","NOC-628301","ECT-80265705","2020-08-17 03:35:00","2020-08-17 05:17:00","01:42","unknown",""
"Environmental","NOC-628039","","2020-08-13 05:05:00","2020-08-13 08:32:00","03:27","power outage",""
"AT&T","NOC-628050","286056130","2020-08-13 09:24:00","2020-08-13 09:47:00","00:23","faulty line card","ATT device lost power"
"Spectrum","NOC-628278","","2020-08-16 15:51:00","2020-08-16 22:42:00","06:51","unknown",""
"Environmental","NOC-628248","","2020-08-15 18:29:00","2020-08-16 09:39:00","15:10","power outage",""
"Vast","NOC-628276","","2020-08-16 10:45:00","2020-08-16 10:46:00","00:01","unknown",""
"Frontier","NOC-628252","","2020-08-15 20:08:00","2020-08-15 20:30:00","00:22","higher level carrier",""
"AT&T","NOC-628239","286136395","2020-08-15 14:20:00","2020-08-15 21:00:00","06:40","other","Likely weather related"
"Crown Castle","NOC-628246","CCF20322670","2020-08-15 18:43:00","2020-08-15 18:52:00","00:09","unknown","Pending"
"Environmental","NOC-628196","","2020-08-14 17:39:00","2020-08-15 04:10:00","10:31","power outage",""
"Spectrum","NOC-628144","","2020-08-14 16:23:00","2020-08-14 23:00:00","06:37","fiber cut",""
"Vast","NOC-628192","CVIN-0814-00014","2020-08-14 14:51:00","2020-08-14 18:00:00","03:09","unknown",""
"Environmental","NOC-628217","","2020-08-14 19:11:00","2020-08-14 21:30:00","02:19","power outage",""
"Environmental","NOC-628209","","2020-08-14 18:39:00","2020-08-14 22:15:00","03:36","power outage",""
"Environmental","NOC-628221","286111533","2020-08-14 19:37:00","2020-08-14 20:06:00","00:29","power outage",""
"Environmental","NOC-628220","","2020-08-14 19:53:00","2020-08-14 20:05:00","00:12","power outage",""
"AT&T","NOC-628206","","2020-08-14 18:01:00","2020-08-14 18:03:00","00:02","higher level carrier",""
"Environmental","NOC-628150","","2020-08-14 08:57:00","2020-08-14 09:38:00","00:41","power outage",""
"Spectrum","NOC-628058","ECT-80261690","2020-08-13 09:40:00","2020-08-14 08:46:00","23:06","fiber damage",""
"AT&T","NOC-628160","286095625, 286094722, 286095631","2020-08-14 10:02:00","2020-08-14 10:03:00","00:01","higher level carrier",""
"Spectrum","NOC-628144","","2020-08-14 07:46:00","2020-08-14 07:55:00","00:09","fiber cut",""
"Crown Castle","NOC-628127","CCF20322299","2020-08-14 02:18:00","2020-08-14 02:24:00","00:06","unknown",""
"Environmental","NOC-628040","286047274","2020-08-13 05:46:00","2020-08-13 10:10:00","04:24","power outage",""
"AT&T","NOC-627955","","2020-08-12 08:01:00","2020-08-13 15:29:00","31:28","fiber damage",""
"Environmental","NOC-628001","","2020-08-12 18:27:00","2020-08-12 23:20:00","04:53","power outage",""
"Spectrum","NOC-628003","","2020-08-12 18:30:00","2020-08-12 18:54:00","00:24","provider maintenance",""
"Zayo","NOC-627994","4330609","2020-08-12 16:46:00","2020-08-12 17:24:00","00:38","faulty line card",""
"Environmental","NOC-627981","","2020-08-12 12:18:00","2020-08-12 12:51:00","00:33","power outage",""
