"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-640000","","2021-01-16 12:56:00","2021-01-18 08:55:00","43:59","faulty line card",""
"Zayo","NOC-640070","TTN-0004723805","2021-01-18 14:22:00","2021-01-18 17:16:00","02:54","fiber damage",""
"Environmental","NOC-640033","","2021-01-17 18:20:00","2021-01-17 18:27:00","00:07","other","Associate maintenance"
"Crown Castle","NOC-639957","","2021-01-15 12:25:00","2021-01-15 12:30:00","00:05","other","Unrelated planned maintenance"
"Comcast","NOC-639925","SI047428391","2021-01-15 00:42:00","2021-01-15 01:08:00","00:26","unknown",""
"Environmental","NOC-639929","","2021-01-15 02:15:00","2021-01-15 02:21:00","00:06","unknown","Customer owned fiber"
"AT&T","NOC-639917","296297660","2021-01-15 00:07:00","2021-01-15 00:12:00","00:05","unknown",""
"CENIC Internal","NOC-639891","","2021-01-14 15:03:00","2021-01-14 17:50:00","02:47","other","Premature start of maintenance by Lumen"
"AT&T","NOC-639862","CID:19KGFS526353PT(296280489 or LE131002), CID:19KGFS526324PT(296280652 or LE131003)","2021-01-14 10:04:00","2021-01-14 14:11:00","04:07","faulty line card",""
"AT&T","NOC-639825","","2021-01-13 23:47:00","2021-01-14 15:16:00","15:29","faulty line card",""
"AT&T","NOC-639875","296284317 296285093 296284785","2021-01-14 11:51:00","2021-01-14 12:11:00","00:20","faulty line card",""
"AT&T","NOC-639833","296267527","2021-01-14 01:49:00","2021-01-14 02:28:00","00:39","faulty line card",""
"Crown Castle","NOC-639771","CCF-21363565","2021-01-13 11:10:00","2021-01-13 14:58:00","03:48","fiber cut",""
"Environmental","NOC-639715","","2021-01-12 19:01:00","2021-01-12 20:50:00","01:49","power outage",""
"Zayo","NOC-639729","","2021-01-13 00:55:00","2021-01-13 00:56:00","00:01","other","Unrelated maintenance"
"Environmental","NOC-639747","","2021-01-13 07:00:00","2021-01-13 07:09:00","00:09","unknown",""
