"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"AT&T","NOC-637967","295643687 295644137 295644539 295644966","2020-12-19 07:01:00","2020-12-19 07:02:00","00:01","unknown",""
"AT&T","NOC-637967","295643687 295644137 295644539 295644966","2020-12-19 07:01:00","2020-12-19 07:02:00","00:01","unknown",""
"Environmental","NOC-637966","","2020-12-19 07:12:00","2020-12-19 07:15:00","00:03","power outage",""
"Frontier","NOC-637897","","2020-12-18 10:00:00","2020-12-19 03:00:00","17:00","fiber cut",""
"AT&T","NOC-637685","295560143, 295560997","2020-12-17 10:46:00","2020-12-18 12:22:00","25:36","fiber damage",""
"SCE (So Cal Edison)","NOC-637705","3141642","2020-12-16 15:40:00","2020-12-17 17:33:00","25:53","fiber cut",""
"Crown Castle","NOC-637832","","2020-12-17 16:44:00","2020-12-17 16:47:00","00:03","provider maintenance",""
"Environmental","NOC-637320","295406689","2020-12-10 23:21:00","2020-12-17 10:46:00","155:25","power outage",""
"Environmental","NOC-637782","","2020-12-17 08:32:00","2020-12-17 08:59:00","00:27","power outage",""
"CENIC Internal","NOC-637776","","2020-12-17 00:00:00","2020-12-17 06:30:00","06:30","other","Unannounced CENIC maintenance"
"Environmental","NOC-636965","","2020-12-10 16:16:00","2020-12-16 11:38:00","139:22","power outage",""
"Spectrum","NOC-637657","ECT-80438124 and ECT-80437626 (new)","2020-12-16 05:00:00","2020-12-16 10:17:00","05:17","faulty line card",""
"Comcast","NOC-637547","SI047018718","2020-12-14 23:43:00","2020-12-16 01:28:00","25:45","fiber damage",""
"Vast","NOC-637846","5672 (CVIN)","2020-12-17 18:37:00","2020-12-17 19:37:00","01:00","unknown",""
